/home/zaher/projects/samar/samar/models/samar_transformer.py:43: UserWarning: [DescriptionVocab] 107 overlapping strings have different IDs in SamarVocab vs DescriptionVocab (e.g. [('TimeSignature_1/2', 748, 1132), ('TimeSignature_2/2', 775, 1159), ('TimeSignature_3/2', 794, 1178), ('TimeSignature_4/2', 808, 1192), ('TimeSignature_5/2', 821, 1205)]). Cross-tokenizer use will mis-encode. This is by-design per FIGARO two-stream split, but be careful: always use SamarTokenizer for events and DescriptionTokenizer for descriptions.
  desc_vocab_size = len(DescriptionVocab())
/home/zaher/projects/samar/.venv/lib/python3.12/site-packages/torch/nn/modules/transformer.py:143: UserWarning: enable_nested_tensor is True, but self.use_nested_tensor is False because encoder_layer.self_attn.batch_first was not True(use batch_first for better inference performance)
  self.encoder = TransformerEncoder(
[model] Total parameters: 5,338,598
[trainer] Resuming from checkpoint: checkpoints/samar_transformer_midi_v2.pt
[SamarLatentDataset] Filtered 4 samples shorter than 16 tokens (13252 -> 13248 samples)
[trainer] Split 13248 samples into 11924 train / 1324 val
[trainer] Resuming from epoch 15, best_val=1.3455
[trainer] Restored optimizer state from resume
[trainer] Restored scheduler state from resume (last_epoch=11190)
/home/zaher/projects/samar/samar/tokenizer.py:65: UserWarning: [DescriptionVocab] 107 overlapping strings have different IDs in SamarVocab vs DescriptionVocab (e.g. [('TimeSignature_1/2', 748, 1132), ('TimeSignature_2/2', 775, 1159), ('TimeSignature_3/2', 794, 1178), ('TimeSignature_4/2', 808, 1192), ('TimeSignature_5/2', 821, 1205)]). Cross-tokenizer use will mis-encode. This is by-design per FIGARO two-stream split, but be careful: always use SamarTokenizer for events and DescriptionTokenizer for descriptions.
  self.vocab = vocab or DescriptionVocab()
  [epoch 20 batch 630] loss=1.4973
  [epoch 20 batch 640] loss=1.3347
  [epoch 20 batch 650] loss=1.2818
  [epoch 20 batch 660] loss=1.4085
  [epoch 20 batch 670] loss=1.3903
  [epoch 20 batch 680] loss=1.2225
  [epoch 20 batch 690] loss=1.4604
  [epoch 20 batch 700] loss=1.4204
  [epoch 20 batch 710] loss=1.3366
  [epoch 20 batch 720] loss=1.3105
  [epoch 20 batch 730] loss=1.2124
  [epoch 20 batch 740] loss=1.2555
Epoch 20/25  train_loss=1.3481  val_loss=1.2952
[trainer] New best val_loss=1.2952
[trainer] Saved weights -> checkpoints/samar_transformer_midi_v2.pt
[trainer] Saved config  -> checkpoints/samar_transformer_midi_v2_config.json
[trainer] Saved best   -> checkpoints/samar_transformer_midi_v2_best.pt
  [epoch 21 batch 10] loss=1.4209
  [epoch 21 batch 20] loss=1.2463
  [epoch 21 batch 30] loss=1.4205
  [epoch 21 batch 40] loss=1.3982
  [epoch 21 batch 50] loss=1.3525
  [epoch 21 batch 60] loss=1.3778
  [epoch 21 batch 70] loss=1.2361
  [epoch 21 batch 80] loss=1.2987
  [epoch 21 batch 90] loss=1.3437
  [epoch 21 batch 100] loss=1.4334
  [epoch 21 batch 110] loss=1.3364
  [epoch 21 batch 120] loss=1.3120
  [epoch 21 batch 130] loss=1.3605
  [epoch 21 batch 140] loss=1.2638
  [epoch 21 batch 150] loss=1.3397
  [epoch 21 batch 160] loss=1.3855
  [epoch 21 batch 170] loss=1.3853
  [epoch 21 batch 180] loss=1.3480
  [epoch 21 batch 190] loss=1.3629
  [epoch 21 batch 200] loss=1.4233
  [epoch 21 batch 210] loss=1.2951
  [epoch 21 batch 220] loss=1.3249
  [epoch 21 batch 230] loss=1.2983
  [epoch 21 batch 240] loss=1.3010
  [epoch 21 batch 250] loss=1.4441
  [epoch 21 batch 260] loss=1.2362
  [epoch 21 batch 270] loss=1.2595
  [epoch 21 batch 280] loss=1.3103
  [epoch 21 batch 290] loss=1.2581
  [epoch 21 batch 300] loss=1.2976
  [epoch 21 batch 310] loss=1.3399
  [epoch 21 batch 320] loss=1.4799
  [epoch 21 batch 330] loss=1.3800
  [epoch 21 batch 340] loss=1.3044
  [epoch 21 batch 350] loss=1.2947
  [epoch 21 batch 360] loss=1.3135
  [epoch 21 batch 370] loss=1.3041
  [epoch 21 batch 380] loss=1.3361
  [epoch 21 batch 390] loss=1.3365
  [epoch 21 batch 400] loss=1.2777
  [epoch 21 batch 410] loss=1.2848
  [epoch 21 batch 420] loss=1.2928
  [epoch 21 batch 430] loss=1.3007
  [epoch 21 batch 440] loss=1.2463
  [epoch 21 batch 450] loss=1.3298
  [epoch 21 batch 460] loss=1.4151
  [epoch 21 batch 470] loss=1.3354
  [epoch 21 batch 480] loss=1.2553
  [epoch 21 batch 490] loss=1.4077
  [epoch 21 batch 500] loss=1.3407
  [epoch 21 batch 510] loss=1.2855
  [epoch 21 batch 520] loss=1.2668
  [epoch 21 batch 530] loss=1.3583
  [epoch 21 batch 540] loss=1.3147
  [epoch 21 batch 550] loss=1.3882
  [epoch 21 batch 560] loss=1.3307
  [epoch 21 batch 570] loss=1.3738
  [epoch 21 batch 580] loss=1.3716
  [epoch 21 batch 590] loss=1.2625
  [epoch 21 batch 600] loss=1.3725
  [epoch 21 batch 610] loss=1.4363
  [epoch 21 batch 620] loss=1.2728
  [epoch 21 batch 630] loss=1.4045
  [epoch 21 batch 640] loss=1.2787
  [epoch 21 batch 650] loss=1.2692
  [epoch 21 batch 660] loss=1.2312
  [epoch 21 batch 670] loss=1.3180
  [epoch 21 batch 680] loss=1.4230
  [epoch 21 batch 690] loss=1.3878
  [epoch 21 batch 700] loss=1.3111
  [epoch 21 batch 710] loss=1.2573
  [epoch 21 batch 720] loss=1.3023
  [epoch 21 batch 730] loss=1.4734
  [epoch 21 batch 740] loss=1.4040
Epoch 21/25  train_loss=1.3397  val_loss=1.2866
[trainer] New best val_loss=1.2866
[trainer] Saved weights -> checkpoints/samar_transformer_midi_v2.pt
[trainer] Saved config  -> checkpoints/samar_transformer_midi_v2_config.json
[trainer] Saved best   -> checkpoints/samar_transformer_midi_v2_best.pt
  [epoch 22 batch 10] loss=1.4306
  [epoch 22 batch 20] loss=1.3082
  [epoch 22 batch 30] loss=1.2459
  [epoch 22 batch 40] loss=1.2779
  [epoch 22 batch 50] loss=1.2148
  [epoch 22 batch 60] loss=1.3489
  [epoch 22 batch 70] loss=1.3580
  [epoch 22 batch 80] loss=1.2755
  [epoch 22 batch 90] loss=1.2616
  [epoch 22 batch 100] loss=1.2899
  [epoch 22 batch 110] loss=1.3459
  [epoch 22 batch 120] loss=1.3152
  [epoch 22 batch 130] loss=1.3392
  [epoch 22 batch 140] loss=1.4602
